КОПУК,Название,Адрес,Число дней работы парка (Единица),Общая площадь парка (Гектар),Число досуговых объектов: всего (Единица),Число досуговых объектов: требуют капитального ремонта  (Единица),Число досуговых объектов: работающие круглогодично (Единица),"Количество спортивных объектов (залов, площадок): в летний сезон (Единица)","Количество спортивных объектов (залов, площадок): в зимний сезон (Единица)",Прокат спортивного инвентаря: в летний сезон (Единица),Прокат спортивного инвентаря: в зимний сезон (Единица),"Число концертных площадок, павильонов (Единица)",Количество игровых объектов на детских площадках: в летний сезон (Единица),Количество игровых объектов на детских площадках: в зимний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в летний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в зимний сезон (Единица),Количество туалетов: в летний сезон (Единица),Количество туалетов: в зимний сезон (Единица),Наличие доступа в Интернет (Единица),Число культурно-массовых и физкультурно-оздоровительных мероприятий: всего (Единица),Численность работников: всего (Человек),Численность работников: штатных (Человек)
271390,"Парк ""Захарово""","143022, Московская обл., район Одинцовский, поселок Летний Отдых, улица Зеленая, дом 1А",365,13,8,,4,1,2,,,5,16,18,,,5,5,TRUE,575,12,12
279211,"ПКО им.Маяковского, Белая Калитва","Ростовская обл., район Белокалитвинский, город Белая Калитва, улица Парковая",365,12,7,3,1,4,,,,1,,,600,200,2,,TRUE,25,12,7
280365,"ЦПКО ""Лопатинский сад""","214000, Смоленская обл., город Смоленск, улица Ленина, дом 2А",249,11,5,,4,,,,,,,,,,,,,38,12,12
272886,Камышинский ПКО,"Волгоградская обл., город Камышин, улица Калинина",198,"6,9",11,3,,,,,TRUE,1,11,,330,,4,3,TRUE,40,12,12
278647,Березниковский ПКО,"618400, Пермский край, город Березники, проспект Ленина, дом 50",244,"6,1",8,,4,,,,TRUE,3,12,12,,,1,1,TRUE,98,12,12
270448,Гулькевичский ПКО,"352192, Краснодарский край, район Гулькевичский, город Гулькевичи, улица Ленинградская, дом 1/3",365,"2,7",17,,11,7,4,,,,,,,,,,,94,12,11
275742,Жигулевский ГПКО,"Самарская обл., город Жигулевск, улица Ленина",365,"2,3",9,,4,,,,,1,,,,,2,1,TRUE,92,12,12
284385,ПКО ст.Наурская,"Чеченская Респ., район Наурский, станица Наурская, улица Терская",228,2,3,,3,,,,,,,,,,1,1,TRUE,118,12,12
278613,Чайковский ПКО,"Пермский край, город Чайковский, улица Кабалевского",172,"1,7",2,,,1,,,,1,13,,120,,1,1,TRUE,70,12,12
287595,ПКО Калининского района,"454016, Челябинская обл., город Челябинск, улица Чайковского, дом 185",365,44,8,,8,4,4,TRUE,TRUE,,,,,,,,TRUE,25,11,11
